# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20241006
# Data de término: 20251006
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/impresso/index,67713,27944,2.423167764099628,81.22713283710277,138960,0,0
/impresso/view/549,2730,2087,1.308097747963584,12.689985625299473,5720,0,0
/impresso/view/561,751,604,1.2433774834437086,14.501655629139073,1762,0,0
/impresso/view/535,627,490,1.279591836734694,11.720408163265306,1642,0,0
/impresso/view/523,555,491,1.1303462321792261,14.604887983706721,1079,0,0
/impresso/view/136,533,451,1.1818181818181819,15.390243902439025,1795,0,0
/impresso/view/414/manual-de-orientacoes-2014,518,405,1.2790123456790123,15.08148148148148,1065,0,0
/impresso/view/558,491,405,1.2123456790123457,17.320987654320987,1026,0,0
/impresso/view/520,464,416,1.1153846153846154,18.161057692307693,911,0,0
/impresso/view/429/como-obter-a-carteira-de-identidade-profissional-cip-definitiva,450,348,1.293103448275862,15.876436781609195,892,0,0
/impresso/view/515,428,370,1.1567567567567567,13.62972972972973,853,0,0
/impresso/view/520/como-obter-a-carteira-de-identidade-profissional-cip-definitiva-2,422,346,1.2196531791907514,17.026011560693643,781,0,0
/impresso/view/569,398,254,1.5669291338582678,11.633858267716535,1044,0,0
/impresso/view/514,390,341,1.1436950146627567,10.419354838709678,764,0,0
/impresso/view/526,360,323,1.1145510835913313,15.359133126934985,709,0,0
/impresso/view/573,338,268,1.2611940298507462,13.283582089552239,706,0,0
/impresso/view/439/responsabilidade-tecnica-de-empresa-inscrita-no-crp,329,188,1.75,25.76595744680851,661,0,0
/impresso/view/572,329,266,1.236842105263158,13.31578947368421,713,0,0
/impresso/view/562,311,231,1.3463203463203464,6.696969696969697,748,0,0
/impresso/view/518,304,258,1.178294573643411,11.852713178294573,609,0,0
/impresso/view/521,261,237,1.1012658227848102,14.350210970464135,510,0,0
/impresso/view/512,253,207,1.2222222222222223,20.36231884057971,491,0,0
/impresso/view/504,247,221,1.1176470588235294,11.203619909502262,478,0,0
/impresso/view/525,228,203,1.1231527093596059,16.507389162561577,458,0,0
/impresso/view/534,228,134,1.7014925373134329,16.455223880597014,518,0,0
/impresso/view/507,227,166,1.3674698795180722,9.843373493975903,471,0,0
/impresso/view/72,226,167,1.3532934131736527,22.75449101796407,499,0,0
/impresso/view/151/cartilha-de-mediacao,219,179,1.223463687150838,17.75977653631285,451,0,0
/noticia/impresso/view/569,219,99,2.212121212121212,12.818181818181818,419,0,0
/impresso/view/417,217,186,1.1666666666666667,23.010752688172044,424,0,0
/impresso/view/533,216,163,1.3251533742331287,9.196319018404909,468,0,0
/impresso/view/536,206,189,1.08994708994709,17.952380952380953,412,0,0
/impresso/view/78,202,159,1.270440251572327,13.477987421383649,616,0,0
/impresso/view/482,200,118,1.694915254237288,11.076271186440678,531,0,0
/uploads/impresso/3174/nCGe2I3xuJdXZMSpfDJ3fw8tUeFEv,189,112,1.6875,11.946428571428571,550,0,0
/impresso/view/522,183,162,1.1296296296296295,15.382716049382717,353,0,0
/noticia/impresso/index,177,112,1.5803571428571428,7.6875,334,0,0
/impresso/view/469,157,143,1.097902097902098,11.146853146853147,313,0,0
/impresso/view/555,156,128,1.21875,13.2578125,313,0,0
/impresso/materia/39/prontuarios-e-registro-documental-dos-servicos-de-psicologia,154,125,1.232,36.184,505,0,0
/impresso/view/508,154,131,1.1755725190839694,10.381679389312977,304,0,0
/impresso/view/511,152,130,1.1692307692307693,10.284615384615385,317,0,0
/impresso/view/519,152,137,1.1094890510948905,14.598540145985401,298,0,0
