# ----------------------------------------
# Visão geral do engajamento
# Conta: CRP SP
# Propriedade: Site - GA4
# ----------------------------------------
#  
# Data de início: 20241006
# Data de término: 20251006
Nª semana,Tempo médio de engajamento por usuário ativo
0000,133.97792249047015
0001,128.7131266743207
0002,133.4557609123083
0003,120.03557740376604
0004,126.15504682622269
0005,112.64073006724304
0006,112.92693333333334
0007,130.57790482790483
0008,119.17892644135189
0009,113.05558298652747
0010,108.64266666666667
0011,90.2095211346721
0012,76.97650566487776
0013,86.31005978943182
0014,99.49411497987947
0015,106.28484146732035
0016,103.08345101427123
0017,114.53437146469687
0018,122.2632880541916
0019,122.0905190197211
0020,134.61275108577632
0021,94.64339517719023
0022,129.73011624349954
0023,108.35269094914354
0024,110.93915782493369
0025,109.48045048873779
0026,170.1330746055252
0027,114.43040085373174
0028,120.41101491101492
0029,98.43363594575959
0030,104.74776208474239
0031,108.84048036850186
0032,111.5549732381802
0033,96.18094838047233
0034,106.56458171959721
0035,103.95059625212947
0036,97.96295687885011
0037,110.35245392420791
0038,89.57193695983732
0039,105.47388414055081
0040,107.15063489302487
0041,124.5996354107326
0042,102.62384069830878
0043,108.66275327981894
0044,124.4241442660994
0045,113.00581625162347
0046,109.46296846011131
0047,105.26072373089079
0048,102.09834072378773
0049,93.23452048417133
0050,105.4119117034569
0051,98.23224934404071
0052,95.38476486591527

# Data de início: 20241006
# Data de término: 20251006
Nª semana,Sessões engajadas por usuário ativo
0000,1.0656766200762389
0001,0.9587447378492154
0002,1.0090444357058592
0003,0.9757540409931678
0004,1.0210718002081165
0005,0.9436931944136555
0006,0.9583238095238096
0007,1.085181335181335
0008,1.0078786540019145
0009,0.9703040135430627
0010,0.9818039215686275
0011,0.9008566212610588
0012,0.9044126416219439
0013,1.1046998719685763
0014,1.045077553796452
0015,1.0883939789608534
0016,1.0896313402335898
0017,1.1511279696546217
0018,1.127629834056127
0019,1.151373875732321
0020,1.1305306731813247
0021,1.0353874930488853
0022,1.1820128479657388
0023,1.076455619279122
0024,1.1179542440318302
0025,1.1417339566510838
0026,1.1047847622938263
0027,1.0881077836323618
0028,1.1192279942279941
0029,1.0687772925764192
0030,1.1306942510443605
0031,1.0771002412809827
0032,1.1113403211418376
0033,0.9954727900681415
0034,0.9919635941130907
0035,1.0338890240934533
0036,1.0017248459958932
0037,1.0853178711948643
0038,0.9951009844248279
0039,1.0491792158458826
0040,0.9919986084536441
0041,0.9974934487866014
0042,1.0375886524822695
0043,1.0833127055412144
0044,0.9573583446141946
0045,1.0518380484499408
0046,1.0525417439703153
0047,1.0568922144101143
0048,1.034758975826062
0049,0.9915037243947858
0050,1.0509787588504789
0051,1.0238530651188678
0052,0.8336572094830936

# Data de início: 20241006
# Data de término: 20251006
Nª semana,Tempo médio de engajamento por sessão
0000,79.45415155653934
0001,81.62890150963545
0002,79.81233243967829
0003,75.42759162303665
0004,76.78771244589888
0005,74.497458703939
0006,72.8551907196225
0007,79.33916979543142
0008,73.25498981670061
0009,71.32065144840475
