Ano,Cadernos Temáticos,Cartilhas,Diversos,Jornal Psi,Livros,Revista Práticas Psi
2025,0,3,5,2,0,1
2024,0,0,0,4,0,0
2023,0,0,0,2,0,0
2022,2,0,7,3,1,0
2021,0,0,1,1,0,0
2020,1,0,4,1,0,0
2019,16,2,123,4,9,0
2018,0,0,0,3,0,0
2017,0,0,0,1,2,0
2016,6,1,0,5,8,0
2015,2,1,0,5,0,0
2014,0,3,0,5,1,0
2013,0,0,0,5,2,0
2012,1,0,0,2,0,0
2011,3,0,0,3,0,0
2010,3,2,0,6,2,0
2009,1,0,0,6,0,0
2008,1,0,0,3,0,0
2007,5,0,0,6,0,0
2006,0,0,0,5,1,0
2005,0,0,0,4,0,0
2004,0,0,0,4,0,0
2003,0,0,0,4,0,0
2002,0,0,1,5,0,0
2001,0,0,0,6,0,0
2000,0,0,0,5,0,0
1999,0,0,0,6,0,0
1998,0,0,0,6,0,0
1997,0,0,0,7,0,0
1996,0,0,0,7,0,0
1995,0,0,0,7,0,0
1994,0,0,0,7,0,0
1993,0,0,0,5,0,0
1992,0,0,0,6,0,0
1991,0,0,0,7,0,0
1990,0,0,0,6,0,0
1989,0,0,0,7,0,0
1988,0,0,0,8,0,0
1987,0,0,0,3,0,0
1986,0,0,0,8,0,0
1985,0,0,0,8,0,0
1984,0,0,0,13,0,0
1983,0,0,0,9,0,0
1982,0,0,0,6,0,0
1981,0,0,0,7,0,0
